data,hora,taxa
2026/01/06,12:09:35,14.60153268754884
2026/01/06,12:09:36,14.85113464644731
2026/01/06,12:09:37,14.612658995444093
2026/01/06,12:09:38,15.113366697492312
2026/01/06,12:09:39,14.78968424029661
2026/01/06,12:09:40,15.189686930859438
2026/01/06,12:09:41,14.503594149409563
2026/01/06,12:09:42,14.495991182921852
2026/01/06,12:09:43,14.402118415767815
2026/01/06,12:09:44,14.792922136226874
2026/01/06,12:13:42,14.995279048604232
2026/01/06,12:13:43,15.075303301081377
2026/01/06,12:13:44,14.558568473160486
2026/01/06,12:13:45,14.48117631227298
2026/01/06,12:13:46,14.477025279762339
2026/01/06,12:13:47,14.448429271172392
2026/01/06,12:13:48,14.76696831051898
2026/01/06,12:13:49,15.252806932191776
2026/01/06,12:13:50,14.981506313344724
2026/01/06,12:13:51,14.570553504440259
